Participant_number,Phase,Trial,Image Left,Image Right,Value Left,Value Right,Choice,Gained Value,Decision Time,Feedback Time
4,Training,1,images/b_trial.png,images/a1_trial.png,60.0,39.0,left,60.0,7.2989209999796,9.661932457995135
4,Training,2,images/a1_trial.png,images/a2_trial.png,56.0,49.0,right,49.0,4.465740000014193,2.0757006249623373
4,Training,3,images/b_trial.png,images/c_trial.png,11.0,9.0,right,9.0,2.507542875013314,1.506006375013385
4,Training,4,images/b_trial.png,images/a1_trial.png,94.0,10.0,left,94.0,1.9093027090420946,0.677818667027168
4,Training,5,images/a1_trial.png,images/a2_trial.png,82.0,39.0,left,82.0,1.3917808340047486,0.9053485830081627
4,Learning Part 1,1,images/tibetian/a2_N.png,images/tibetian/c_N.png,59.912512897502,31.52435686459847,left,59.912512897502,2.6335096249822527,1.058376750035677
4,Learning Part 1,2,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.90605866844543,52.03250729852685,left,71.90605866844543,2.5785267500323243,1.3527135420008563
4,Learning Part 1,3,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.103347989404526,48.234223308169895,left,63.103347989404526,2.1428744579898193,1.1477195839979686
4,Learning Part 1,4,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.97764841301792,44.719053368838075,left,80.97764841301792,1.7891019999515265,0.9397391669917852
4,Learning Part 1,5,images/tibetian/a1_N.png,images/tibetian/b_N.png,57.81423191541829,46.23409678201382,left,57.81423191541829,3.72218070900999,2.8095742919831537
4,Learning Part 1,6,images/tibetian/a2_N.png,images/tibetian/c_N.png,57.20448451178927,48.42558209483287,left,57.20448451178927,1.6752037500264123,2.474674125027377
4,Learning Part 1,7,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.55873621137303,53.16010941066376,left,63.55873621137303,1.3169430409907363,4.246670167020056
4,Learning Part 1,8,images/tibetian/a2_N.png,images/tibetian/c_N.png,59.19403227970441,26.478102694823853,left,59.19403227970441,1.5621670829714276,4.73195470799692
4,Learning Part 1,9,images/tibetian/a1_N.png,images/tibetian/b_N.png,77.8534180348515,57.54879244801952,left,77.8534180348515,1.4198846659855917,1.4001637499895878
4,Learning Part 1,10,images/tibetian/a2_N.png,images/tibetian/c_N.png,64.47434739861316,20.60201009340806,left,64.47434739861316,1.2503295409842394,1.6736882089753635
4,Learning Part 1,11,images/tibetian/a1_N.png,images/tibetian/b_N.png,60.465643807982026,53.61178517484022,left,60.465643807982026,0.9301943330210634,1.1169947090093046
4,Learning Part 1,12,images/tibetian/a1_N.png,images/tibetian/b_N.png,75.55031913591525,50.73385340979948,left,75.55031913591525,0.8671304589952342,1.6254354169941507
4,Learning Part 1,13,images/tibetian/a2_N.png,images/tibetian/c_N.png,47.32619170646129,63.44353090937834,left,47.32619170646129,0.8803317080019042,5.847749917011242
4,Learning Part 1,14,images/tibetian/a1_N.png,images/tibetian/b_N.png,60.85693577509258,51.51336949829368,left,60.85693577509258,1.5913564590155147,2.944278708018828
4,Learning Part 1,15,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.5495171986864,32.22253801089778,right,32.22253801089778,2.019040999992285,1.6123644589679316
4,Learning Part 1,16,images/tibetian/a1_N.png,images/tibetian/b_N.png,69.79846622587422,56.62413100100801,left,69.79846622587422,1.1458313330076635,1.4924128749989904
4,Learning Part 1,17,images/tibetian/a1_N.png,images/tibetian/b_N.png,63.09354095714312,43.78762782831374,left,63.09354095714312,0.8668567079585046,2.361124791961629
4,Learning Part 1,18,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.32923588482906,46.89960001674907,left,66.32923588482906,0.7522252499475144,1.210067042033188
4,Learning Part 1,19,images/tibetian/a2_N.png,images/tibetian/c_N.png,53.95174791057541,72.10312715199949,right,72.10312715199949,1.501209584006574,1.356226209027227
4,Learning Part 1,20,images/tibetian/a2_N.png,images/tibetian/c_N.png,88.35418797600613,42.74477144603827,left,88.35418797600613,1.0493537920410745,4.27863899996737
4,Learning Part 1,21,images/tibetian/a2_N.png,images/tibetian/c_N.png,51.881031912690474,78.44015711977107,left,51.881031912690474,1.98324525001226,13.053525916999206
4,Learning Part 1,22,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.95315603251862,49.43132469876095,left,80.95315603251862,2.0235554589889944,2.458879874960985
4,Learning Part 1,23,images/tibetian/a1_N.png,images/tibetian/b_N.png,55.42213312050923,52.4543668922967,left,55.42213312050923,1.3985343750100583,2.800977375009097
4,Learning Part 1,24,images/tibetian/a1_N.png,images/tibetian/b_N.png,49.83589978439899,53.639686423044125,left,49.83589978439899,1.086393625009805,2.4760308339609765
4,Learning Part 1,25,images/tibetian/a2_N.png,images/tibetian/c_N.png,77.9887275187981,40.63381716889067,left,77.9887275187981,2.344412208010908,1.3864558750065044
4,Learning Part 1,26,images/tibetian/a1_N.png,images/tibetian/b_N.png,63.09798312095845,68.71545888809152,left,63.09798312095845,1.0624978329869919,2.2887326249619946
4,Learning Part 1,27,images/tibetian/a2_N.png,images/tibetian/c_N.png,81.39015871281991,43.08735245442325,right,43.08735245442325,2.1226816669804975,2.363112957973499
4,Learning Part 1,28,images/tibetian/a1_N.png,images/tibetian/b_N.png,79.47157029210959,50.512677851497195,left,79.47157029210959,1.246397542010527,1.6031909169978462
4,Learning Part 1,29,images/tibetian/a2_N.png,images/tibetian/c_N.png,88.51650361198722,38.32982294250769,left,88.51650361198722,1.5388724579825066,0.9445601250045002
4,Learning Part 1,30,images/tibetian/a2_N.png,images/tibetian/c_N.png,47.03427232921184,52.146814290333296,left,47.03427232921184,1.3056877920171246,2.0534807500080206
4,Learning Part 1,31,images/tibetian/a1_N.png,images/tibetian/b_N.png,60.55975028011467,61.20049958576111,left,60.55975028011467,0.9320115830050781,1.1674654170055874
4,Learning Part 1,32,images/tibetian/a2_N.png,images/tibetian/c_N.png,39.007185928137346,50.68650630383493,left,39.007185928137346,1.8383431660477072,1.2543436670093797
4,Learning Part 1,33,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.06920268850641,26.48831408417457,left,72.06920268850641,0.9278947499697097,0.9945243329857476
4,Learning Part 1,34,images/tibetian/a1_N.png,images/tibetian/b_N.png,90.2010447379403,57.22056569678622,left,90.2010447379403,0.889861625037156,2.5795054159825668
4,Learning Part 1,35,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.92572256505872,37.56366645476375,left,63.92572256505872,1.6087371250032447,1.1576447499683127
4,Learning Part 1,36,images/tibetian/a1_N.png,images/tibetian/b_N.png,56.41629772314634,66.69982696528074,left,56.41629772314634,0.8960314160212874,4.825328707986046
4,Learning Part 1,37,images/tibetian/a1_N.png,images/tibetian/b_N.png,51.801375109952474,58.37262026098858,right,58.37262026098858,2.1370437080040574,1.1732073329621926
4,Learning Part 1,38,images/tibetian/a1_N.png,images/tibetian/b_N.png,62.52637173313659,46.47685485526668,right,46.47685485526668,1.2374906659824774,1.2252919999882579
4,Learning Part 1,39,images/tibetian/a1_N.png,images/tibetian/b_N.png,55.90518485298671,63.08655399767731,left,55.90518485298671,1.5314060000237077,3.046504499972798
4,Learning Part 1,40,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.58514978823149,27.646217332184758,left,66.58514978823149,1.6389431249699555,0.987128583015874
4,Learning Part 1,41,images/tibetian/a1_N.png,images/tibetian/b_N.png,68.99566099764972,44.27969745565407,left,68.99566099764972,1.1715870409971103,0.8304224159801379
4,Learning Part 1,42,images/tibetian/a1_N.png,images/tibetian/b_N.png,82.7953127399673,53.04858706800876,left,82.7953127399673,0.8991881670081057,0.9616791249718517
4,Learning Part 1,43,images/tibetian/a2_N.png,images/tibetian/c_N.png,51.20999133050159,54.03171492349562,right,54.03171492349562,1.8438465830404311,1.253658167028334
4,Learning Part 1,44,images/tibetian/a2_N.png,images/tibetian/c_N.png,61.381937145520816,56.89644674237163,right,56.89644674237163,0.8619863339699805,1.2994171670288779
4,Learning Part 1,45,images/tibetian/a2_N.png,images/tibetian/c_N.png,37.825911611377585,44.51632990170764,right,44.51632990170764,0.9528299999656156,1.647214874974452
4,Learning Part 1,46,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.63783907394941,36.59167034547288,left,66.63783907394941,1.8344371250132099,1.4496676250128075
4,Learning Part 1,47,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.47446370778557,63.493741595576054,left,71.47446370778557,1.1273201660369523,1.0871512909652665
4,Learning Part 1,48,images/tibetian/a1_N.png,images/tibetian/b_N.png,52.700591436546134,67.73825847464576,left,52.700591436546134,1.1052895830362104,1.376994249993004
4,Learning Part 1,49,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.19746013304916,32.06945219346787,left,70.19746013304916,3.6051142499782145,0.993820833042264
4,Learning Part 1,50,images/tibetian/a2_N.png,images/tibetian/c_N.png,74.5487160480532,57.341112954497405,left,74.5487160480532,0.8006558339693584,1.5446868329891004
4,Learning Part 1,51,images/tibetian/a2_N.png,images/tibetian/c_N.png,68.09332729475997,56.0028568795329,left,68.09332729475997,0.9810356670059264,1.2920459160231985
4,Learning Part 1,52,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.25294147113988,40.715988030505486,left,79.25294147113988,0.8968431249959394,1.2979590420145541
4,Learning Part 1,53,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.445334497018294,29.761720605879447,left,63.445334497018294,0.6921114170108922,0.9464011249947362
