Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
9,images/tibetian/a1_N.png,images/tibetian/a2_N.png,14.2,16.03111505508423
9,images/tibetian/a1_N.png,images/tibetian/b_N.png,14.2,3.376251697540283
9,images/tibetian/a1_N.png,images/tibetian/c_N.png,61.0,7.348270654678345
9,images/tibetian/a2_N.png,images/tibetian/b_N.png,13.8,5.801419019699097
9,images/tibetian/a2_N.png,images/tibetian/c_N.png,65.8,15.126537084579468
9,images/tibetian/b_N.png,images/tibetian/c_N.png,78.4,7.8683180809021
9,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,96.8,12.606343030929565
9,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,96.8,2.5046660900115967
9,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,96.8,2.485218048095703
9,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,12.2,10.547430753707886
9,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,12.2,3.3493149280548096
9,images/tibetian/b_Z.png,images/tibetian/c_Z.png,7.0,4.65681266784668
9,images/tibetian/a1_P.png,images/tibetian/a2_P.png,98.4,5.65933084487915
9,images/tibetian/a1_P.png,images/tibetian/b_P.png,3.8,4.727061986923218
9,images/tibetian/a1_P.png,images/tibetian/c_P.png,3.8,1.114300012588501
9,images/tibetian/a2_P.png,images/tibetian/b_P.png,0.8,3.2514851093292236
9,images/tibetian/a2_P.png,images/tibetian/c_P.png,0.8,2.0232913494110107
9,images/tibetian/b_P.png,images/tibetian/c_P.png,34.0,5.520283937454224
9,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,75.2,11.044373035430908
9,images/tibetian/a1_N.png,images/tibetian/a2_P.png,99.6,7.242267847061157
9,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,75.0,3.523519992828369
9,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,99.6,2.9137070178985596
9,images/tibetian/a1_P.png,images/tibetian/a2_N.png,74.6,3.500828981399536
9,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,74.6,2.384016752243042
9,images/tibetian/b_N.png,images/tibetian/c_Z.png,74.6,2.095136880874634
9,images/tibetian/b_N.png,images/tibetian/c_P.png,24.6,4.05372428894043
9,images/tibetian/b_Z.png,images/tibetian/c_N.png,24.6,11.146032094955444
9,images/tibetian/b_Z.png,images/tibetian/c_P.png,24.6,0.7114639282226562
9,images/tibetian/b_P.png,images/tibetian/c_N.png,74.6,2.6362922191619873
9,images/tibetian/b_P.png,images/tibetian/c_Z.png,74.6,1.5970091819763184
