Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
10,images/tibetian/a1_N.png,images/tibetian/a2_N.png,35.4,3.1230528354644775
10,images/tibetian/a1_N.png,images/tibetian/b_N.png,43.0,6.9196038246154785
10,images/tibetian/a1_N.png,images/tibetian/c_N.png,31.6,9.907306909561157
10,images/tibetian/a2_N.png,images/tibetian/b_N.png,24.0,3.2521238327026367
10,images/tibetian/a2_N.png,images/tibetian/c_N.png,25.4,5.606621742248535
10,images/tibetian/b_N.png,images/tibetian/c_N.png,43.8,4.3409740924835205
10,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,54.4,3.4427621364593506
10,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,30.6,3.8581278324127197
10,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,25.4,2.5552172660827637
10,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,35.2,4.040894031524658
10,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,18.8,2.698045253753662
10,images/tibetian/b_Z.png,images/tibetian/c_Z.png,53.0,6.035830974578857
10,images/tibetian/a1_P.png,images/tibetian/a2_P.png,50.0,4.446725845336914
10,images/tibetian/a1_P.png,images/tibetian/b_P.png,26.8,3.790611982345581
10,images/tibetian/a1_P.png,images/tibetian/c_P.png,14.8,3.1498868465423584
10,images/tibetian/a2_P.png,images/tibetian/b_P.png,39.4,2.885286808013916
10,images/tibetian/a2_P.png,images/tibetian/c_P.png,30.0,1.5563693046569824
10,images/tibetian/b_P.png,images/tibetian/c_P.png,55.8,5.286478757858276
10,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,53.6,5.575731992721558
10,images/tibetian/a1_N.png,images/tibetian/a2_P.png,60.0,15.18080997467041
10,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,67.8,8.064227819442749
10,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,77.0,2.11624813079834
10,images/tibetian/a1_P.png,images/tibetian/a2_N.png,50.2,4.336592197418213
10,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,62.4,1.4099247455596924
10,images/tibetian/b_N.png,images/tibetian/c_Z.png,32.6,2.2974131107330322
10,images/tibetian/b_N.png,images/tibetian/c_P.png,49.8,1.580399990081787
10,images/tibetian/b_Z.png,images/tibetian/c_N.png,40.0,2.6132023334503174
10,images/tibetian/b_Z.png,images/tibetian/c_P.png,36.2,1.8448259830474854
10,images/tibetian/b_P.png,images/tibetian/c_N.png,68.0,3.057257890701294
10,images/tibetian/b_P.png,images/tibetian/c_Z.png,54.8,2.2727673053741455
