Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
5,images/tibetian/a1_N.png,images/tibetian/a2_N.png,75.8,8.042937994003296
5,images/tibetian/a1_N.png,images/tibetian/b_N.png,47.4,4.289973974227905
5,images/tibetian/a1_N.png,images/tibetian/c_N.png,61.0,11.911227941513062
5,images/tibetian/a2_N.png,images/tibetian/b_N.png,19.6,4.78901219367981
5,images/tibetian/a2_N.png,images/tibetian/c_N.png,39.2,3.585664987564087
5,images/tibetian/b_N.png,images/tibetian/c_N.png,50.8,5.081275939941406
5,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,73.8,8.425530910491943
5,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,54.2,3.316131114959717
5,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,48.8,2.885024070739746
5,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,32.4,2.731287956237793
5,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,41.6,2.08652400970459
5,images/tibetian/b_Z.png,images/tibetian/c_Z.png,43.4,2.470940113067627
5,images/tibetian/a1_P.png,images/tibetian/a2_P.png,67.6,4.8007988929748535
5,images/tibetian/a1_P.png,images/tibetian/b_P.png,47.0,4.4569091796875
5,images/tibetian/a1_P.png,images/tibetian/c_P.png,44.6,3.178046941757202
5,images/tibetian/a2_P.png,images/tibetian/b_P.png,21.6,3.632596969604492
5,images/tibetian/a2_P.png,images/tibetian/c_P.png,33.8,2.6529488563537598
5,images/tibetian/b_P.png,images/tibetian/c_P.png,48.8,7.100600004196167
5,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,61.6,4.375915050506592
5,images/tibetian/a1_N.png,images/tibetian/a2_P.png,69.2,4.275386810302734
5,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,61.8,6.489428997039795
5,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,71.4,1.7372219562530518
5,images/tibetian/a1_P.png,images/tibetian/a2_N.png,73.8,5.771448850631714
5,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,68.8,2.5053040981292725
5,images/tibetian/b_N.png,images/tibetian/c_Z.png,60.4,3.0996029376983643
5,images/tibetian/b_N.png,images/tibetian/c_P.png,55.6,0.01630401611328125
5,images/tibetian/b_Z.png,images/tibetian/c_N.png,55.6,3.0608389377593994
5,images/tibetian/b_Z.png,images/tibetian/c_P.png,49.6,3.291273832321167
5,images/tibetian/b_P.png,images/tibetian/c_N.png,51.2,4.108716011047363
5,images/tibetian/b_P.png,images/tibetian/c_Z.png,57.2,2.3703041076660156
