Participant_number,Phase,Trial,Image Left,Image Right,Value Left,Value Right,Choice,Gained Value,Decision Time,Feedback Time
2,Training,1,images/a2_trial.png,images/b_trial.png,50.0,64.0,right,64.0,18.584552166983485,2.4420952500076964
2,Training,2,images/a2_trial.png,images/b_trial.png,72.0,50.0,right,50.0,0.6072393340291455,4.725217417057138
2,Training,3,images/a1_trial.png,images/c_trial.png,34.0,77.0,left,34.0,12.734669958008453,3.5327794999466278
2,Training,4,images/c_trial.png,images/b_trial.png,52.0,93.0,right,93.0,4.7690782499848865,2.192747082968708
2,Training,5,images/b_trial.png,images/a2_trial.png,40.0,96.0,left,40.0,9.05698316701455,1.1370775410323404
2,Learning Part 1,1,images/tibetian/a1_N.png,images/tibetian/b_N.png,46.89190887853756,63.14107402081791,right,63.14107402081791,17.430871375021525,4.744560332968831
2,Learning Part 1,2,images/tibetian/a2_N.png,images/tibetian/c_N.png,68.03840961791406,34.16169015424285,left,68.03840961791406,13.91842020797776,2.7001630419981666
2,Learning Part 1,3,images/tibetian/a2_N.png,images/tibetian/c_N.png,75.56927760265366,38.55064175770508,left,75.56927760265366,3.348551416012924,9.752477000001818
2,Learning Part 1,4,images/tibetian/a2_N.png,images/tibetian/c_N.png,73.18236293804466,48.656942716902996,right,48.656942716902996,5.068564124987461,0.7866314169950783
2,Learning Part 1,5,images/tibetian/a1_N.png,images/tibetian/b_N.png,40.6191005018637,64.16113805815176,left,40.6191005018637,1.3744360000127926,1.0074865839560516
2,Learning Part 1,6,images/tibetian/a1_N.png,images/tibetian/b_N.png,51.20777813689067,53.820894920266255,left,51.20777813689067,0.6254905420355499,2.474759916018229
2,Learning Part 1,7,images/tibetian/a1_N.png,images/tibetian/b_N.png,65.75501275826164,51.625562065155705,left,65.75501275826164,0.8136089170002379,2.6861600410193205
2,Learning Part 1,8,images/tibetian/a1_N.png,images/tibetian/b_N.png,40.41575801922676,71.46958683538135,left,40.41575801922676,1.4099050000077114,3.0107800000114366
2,Learning Part 1,9,images/tibetian/a2_N.png,images/tibetian/c_N.png,52.45916975723144,27.91564798930088,left,52.45916975723144,3.1864115839707665,4.3184317909763195
2,Learning Part 1,10,images/tibetian/a2_N.png,images/tibetian/c_N.png,44.240495610574584,48.240340892243466,left,44.240495610574584,2.3780559159931727,4.890747333003674
2,Learning Part 1,11,images/tibetian/a2_N.png,images/tibetian/c_N.png,55.481340843435476,31.540905615092072,left,55.481340843435476,5.8633075000252575,1.1208721659495495
2,Learning Part 1,12,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.33307108152653,44.80381535350567,right,44.80381535350567,2.9762837499729358,0.7830103750457056
2,Learning Part 1,13,images/tibetian/a1_N.png,images/tibetian/b_N.png,54.195735375506366,72.98362012884141,right,72.98362012884141,3.7101104159955867,1.1302297500078566
2,Learning Part 1,14,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.149933036079865,39.69437230676171,left,63.149933036079865,2.75510679098079,0.9564564159954898
2,Learning Part 1,15,images/tibetian/a1_N.png,images/tibetian/b_N.png,86.77861558157954,51.4743079913178,right,51.4743079913178,7.09995516599156,0.5670971669605933
2,Learning Part 1,16,images/tibetian/a1_N.png,images/tibetian/b_N.png,74.19424532158826,47.646625670308666,right,47.646625670308666,1.6577105409814976,3.069015125045553
2,Learning Part 1,17,images/tibetian/a1_N.png,images/tibetian/b_N.png,74.88214277010732,55.352217545293215,right,55.352217545293215,0.5363977500237525,0.8129001669585705
2,Learning Part 1,18,images/tibetian/a1_N.png,images/tibetian/b_N.png,43.63010178088895,50.28215287159441,right,50.28215287159441,6.894053000025451,1.1296962500200607
2,Learning Part 1,19,images/tibetian/a1_N.png,images/tibetian/b_N.png,83.43069404815718,34.49136109620824,right,34.49136109620824,1.1314698749920353,10.936166666971985
2,Learning Part 1,20,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.97474753926483,39.35727440648962,left,79.97474753926483,1.3561732500093058,0.6689786249771714
2,Learning Part 1,21,images/tibetian/a2_N.png,images/tibetian/c_N.png,65.26195210904717,51.53382998694335,left,65.26195210904717,1.174825709022116,2.40567424998153
2,Learning Part 1,22,images/tibetian/a2_N.png,images/tibetian/c_N.png,53.66363302946814,54.93588286261307,left,53.66363302946814,1.6714070829912089,1.5983961669844575
2,Learning Part 1,23,images/tibetian/a2_N.png,images/tibetian/c_N.png,68.93452564687986,39.28134319215512,left,68.93452564687986,5.369142833980732,1.4310469169868156
