Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
1,images/tibetian/a1_N.png,images/tibetian/a2_N.png,49.8,10.678153991699219
1,images/tibetian/a1_N.png,images/tibetian/b_N.png,30.2,23.785841941833496
1,images/tibetian/a1_N.png,images/tibetian/c_N.png,25.6,8.198749780654907
1,images/tibetian/a2_N.png,images/tibetian/b_N.png,27.4,6.7272820472717285
1,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.8,16.765738010406494
1,images/tibetian/b_N.png,images/tibetian/c_N.png,74.0,4.690839052200317
1,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,31.8,6.511137962341309
1,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,20.2,3.3241829872131348
1,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,70.0,3.8589348793029785
1,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,20.6,5.597469091415405
1,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,20.6,4.397906064987183
1,images/tibetian/b_Z.png,images/tibetian/c_Z.png,61.2,4.3630900382995605
1,images/tibetian/a1_P.png,images/tibetian/a2_P.png,71.0,4.2505059242248535
1,images/tibetian/a1_P.png,images/tibetian/b_P.png,16.8,5.497566223144531
1,images/tibetian/a1_P.png,images/tibetian/c_P.png,17.2,2.474666118621826
1,images/tibetian/a2_P.png,images/tibetian/b_P.png,17.8,4.055433988571167
1,images/tibetian/a2_P.png,images/tibetian/c_P.png,5.2,3.317474126815796
1,images/tibetian/b_P.png,images/tibetian/c_P.png,23.0,4.521247148513794
1,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,66.8,9.49675965309143
1,images/tibetian/a1_N.png,images/tibetian/a2_P.png,78.4,5.707860231399536
1,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,17.4,8.421267986297607
1,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,75.4,5.761088848114014
1,images/tibetian/a1_P.png,images/tibetian/a2_N.png,75.2,13.568658828735352
1,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,84.8,11.67276906967163
1,images/tibetian/b_N.png,images/tibetian/c_Z.png,59.8,7.6725239753723145
1,images/tibetian/b_N.png,images/tibetian/c_P.png,31.8,3.7916669845581055
1,images/tibetian/b_Z.png,images/tibetian/c_N.png,77.8,3.255356788635254
1,images/tibetian/b_Z.png,images/tibetian/c_P.png,33.6,3.6538021564483643
1,images/tibetian/b_P.png,images/tibetian/c_N.png,85.8,7.230672121047974
1,images/tibetian/b_P.png,images/tibetian/c_Z.png,50.0,3.9465348720550537
