Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
2,images/tibetian/a1_N.png,images/tibetian/a2_N.png,93.0,43.201982259750366
2,images/tibetian/a1_N.png,images/tibetian/b_N.png,93.0,3.861175060272217
2,images/tibetian/a1_N.png,images/tibetian/c_N.png,93.6,15.686064720153809
2,images/tibetian/a2_N.png,images/tibetian/b_N.png,6.0,5.21010684967041
2,images/tibetian/a2_N.png,images/tibetian/c_N.png,4.4,2.2254397869110107
2,images/tibetian/b_N.png,images/tibetian/c_N.png,4.4,1.3943150043487549
2,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,3.2,5.807002782821655
2,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,3.2,0.00012087821960449219
2,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,2.0,1.4635059833526611
2,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,3.8,2.234269142150879
2,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,3.8,0.00013518333435058594
2,images/tibetian/b_Z.png,images/tibetian/c_Z.png,4.0,0.16792583465576172
2,images/tibetian/a1_P.png,images/tibetian/a2_P.png,97.0,6.196338176727295
2,images/tibetian/a1_P.png,images/tibetian/b_P.png,96.8,1.9749650955200195
2,images/tibetian/a1_P.png,images/tibetian/c_P.png,95.6,4.591670989990234
2,images/tibetian/a2_P.png,images/tibetian/b_P.png,2.6,3.8943560123443604
2,images/tibetian/a2_P.png,images/tibetian/c_P.png,2.8,0.8707849979400635
2,images/tibetian/b_P.png,images/tibetian/c_P.png,97.0,5.678903102874756
2,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,93.8,7.035321950912476
2,images/tibetian/a1_N.png,images/tibetian/a2_P.png,94.6,0.5111110210418701
2,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,3.0,4.6863110065460205
2,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,98.0,11.576818227767944
2,images/tibetian/a1_P.png,images/tibetian/a2_N.png,98.0,2.151846170425415
2,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,96.6,4.347218036651611
2,images/tibetian/b_N.png,images/tibetian/c_Z.png,6.2,4.70849609375
2,images/tibetian/b_N.png,images/tibetian/c_P.png,6.2,0.8309810161590576
2,images/tibetian/b_Z.png,images/tibetian/c_N.png,6.2,0.0002570152282714844
2,images/tibetian/b_Z.png,images/tibetian/c_P.png,96.0,6.410239934921265
2,images/tibetian/b_P.png,images/tibetian/c_N.png,95.6,3.395893096923828
2,images/tibetian/b_P.png,images/tibetian/c_Z.png,95.6,6.387801170349121
