Participant_number,Phase,Trial,Image Left,Image Right,Value Left,Value Right,Choice,Gained Value,Decision Time,Feedback Time
10,Training,1,images/a1_trial.png,images/c_trial.png,5.0,49.0,left,5.0,1.4254824579693377,1.717138292035088
10,Training,2,images/a2_trial.png,images/a1_trial.png,9.0,49.0,left,9.0,0.6983082080259919,2.8292786669917405
10,Training,3,images/a2_trial.png,images/a1_trial.png,66.0,68.0,right,68.0,0.8364019999862649,0.9800360830267891
10,Training,4,images/a1_trial.png,images/b_trial.png,38.0,33.0,right,33.0,3.5184735829825513,1.7942446670494974
10,Training,5,images/a1_trial.png,images/a2_trial.png,58.0,91.0,right,91.0,0.6295143329771236,1.103998665988911
10,Learning Part 1,1,images/tibetian/a1_N.png,images/tibetian/b_N.png,63.102989328721975,60.92403251002163,left,63.102989328721975,0.9577182079665363,3.6570712910033762
10,Learning Part 1,2,images/tibetian/a1_N.png,images/tibetian/b_N.png,78.89101216891612,50.764222808463664,left,78.89101216891612,0.6441114579793066,0.7436151249567047
10,Learning Part 1,3,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.06640640133031,35.72066384751028,right,35.72066384751028,1.0322855829726905,1.3021359170088544
10,Learning Part 1,4,images/tibetian/a2_N.png,images/tibetian/c_N.png,61.33240974741978,37.11020741289532,left,61.33240974741978,0.7515954169793986,0.8789225409855135
10,Learning Part 1,5,images/tibetian/a1_N.png,images/tibetian/b_N.png,69.86246316548652,46.70375957006492,left,69.86246316548652,0.99714483396383,0.6848077499889769
10,Learning Part 1,6,images/tibetian/a2_N.png,images/tibetian/c_N.png,81.01451541343395,51.601452254086944,left,81.01451541343395,1.2770783330197446,1.169541290961206
10,Learning Part 1,7,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.58003010078822,54.80974378440794,left,71.58003010078822,0.660976082959678,0.8590132090030238
10,Learning Part 1,8,images/tibetian/a1_N.png,images/tibetian/b_N.png,93.31021572763758,33.34856397977882,left,93.31021572763758,0.6508682090207003,0.6827969590085559
10,Learning Part 1,9,images/tibetian/a1_N.png,images/tibetian/b_N.png,64.7451154863987,64.21671492608856,left,64.7451154863987,0.9038419169955887,1.8788758749724366
10,Learning Part 1,10,images/tibetian/a1_N.png,images/tibetian/b_N.png,48.08816331137564,73.26481759567784,right,73.26481759567784,0.7274251250200905,2.2024532919749618
10,Learning Part 1,11,images/tibetian/a2_N.png,images/tibetian/c_N.png,76.29195920780401,47.99340992248429,left,76.29195920780401,1.980321292008739,0.6480162090156227
10,Learning Part 1,12,images/tibetian/a2_N.png,images/tibetian/c_N.png,61.95276592834869,39.17627103691732,left,61.95276592834869,0.4491099170409143,0.5876495420234278
10,Learning Part 1,13,images/tibetian/a2_N.png,images/tibetian/c_N.png,58.84516052561171,40.2473521647854,left,58.84516052561171,0.38477949996013194,0.5456302080419846
10,Learning Part 1,14,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.99672912450785,33.64364194315843,left,66.99672912450785,0.3489547499921173,0.542585416988004
10,Learning Part 1,15,images/tibetian/a1_N.png,images/tibetian/b_N.png,46.86697715167354,80.62232715131515,right,80.62232715131515,0.9448985420167446,1.6113480830099434
10,Learning Part 1,16,images/tibetian/a2_N.png,images/tibetian/c_N.png,65.93563392442108,42.484888506725234,left,65.93563392442108,0.7974701669882052,0.7327059580129571
10,Learning Part 1,17,images/tibetian/a1_N.png,images/tibetian/b_N.png,69.39995569815378,54.096270935483375,left,69.39995569815378,0.5914646669989452,0.7154299580142833
10,Learning Part 1,18,images/tibetian/a2_N.png,images/tibetian/c_N.png,72.10317541044813,47.160320074765565,left,72.10317541044813,1.3775514169828966,1.2257601669989526
10,Learning Part 1,19,images/tibetian/a1_N.png,images/tibetian/b_N.png,51.379226263124465,76.32934621173246,right,76.32934621173246,0.8511787080205977,1.2528985420358367
10,Learning Part 1,20,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.43704215064508,53.0925160026631,left,79.43704215064508,0.5813372919801623,0.6142408340238035
10,Learning Part 1,21,images/tibetian/a1_N.png,images/tibetian/b_N.png,58.01030802286801,60.86627468116017,left,58.01030802286801,0.6361491659772582,0.9612564580165781
10,Learning Part 1,22,images/tibetian/a1_N.png,images/tibetian/b_N.png,92.28973359794139,39.942926119269686,right,39.942926119269686,0.8402360409963876,0.927239999989979
10,Learning Part 1,23,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.17426375365858,21.881259396818848,left,70.17426375365858,0.862230374943465,1.532146167010069
10,Learning Part 1,24,images/tibetian/a1_N.png,images/tibetian/b_N.png,55.535083575518925,43.78042006991855,left,55.535083575518925,0.4569277500268072,0.8393142920103855
10,Learning Part 1,25,images/tibetian/a2_N.png,images/tibetian/c_N.png,38.27894511250379,55.86372488324112,left,38.27894511250379,0.4006950000184588,1.609808208013419
10,Learning Part 1,26,images/tibetian/a2_N.png,images/tibetian/c_N.png,50.90144128532823,49.1440411241496,left,50.90144128532823,0.39732574997469783,1.1171915829763748
10,Learning Part 1,27,images/tibetian/a1_N.png,images/tibetian/b_N.png,59.30674073071168,44.19784970204026,left,59.30674073071168,0.5532988329650834,0.6523725829902105
10,Learning Part 1,28,images/tibetian/a1_N.png,images/tibetian/b_N.png,48.76858100057642,59.12002139460603,left,48.76858100057642,0.31869329197797924,0.7298996250028722
10,Learning Part 1,29,images/tibetian/a1_N.png,images/tibetian/b_N.png,57.340794886900966,40.800673090044306,left,57.340794886900966,0.5784322919789702,0.6591508330311626
10,Learning Part 1,30,images/tibetian/a2_N.png,images/tibetian/c_N.png,74.9770217470972,33.92336661238463,left,74.9770217470972,0.7292292499914765,1.5026805420056917
10,Learning Part 1,31,images/tibetian/a2_N.png,images/tibetian/c_N.png,40.70006780122309,51.836195428807194,left,40.70006780122309,0.40090345800854266,1.0367384999990463
10,Learning Part 1,32,images/tibetian/a1_N.png,images/tibetian/b_N.png,38.09913538324058,69.67538032484165,left,38.09913538324058,0.5699598750215955,1.0415951249888167
10,Learning Part 1,33,images/tibetian/a1_N.png,images/tibetian/b_N.png,54.252334950539904,64.87568343423976,left,54.252334950539904,0.391174582997337,0.6699676249991171
10,Learning Part 1,34,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.31204673416036,48.2758310781403,left,71.31204673416036,0.9484371250146069,0.7552172499708831
10,Learning Part 1,35,images/tibetian/a1_N.png,images/tibetian/b_N.png,74.87177358301673,58.53846704969966,right,58.53846704969966,0.47285641700727865,0.7108230839949101
10,Learning Part 1,36,images/tibetian/a1_N.png,images/tibetian/b_N.png,56.08559771844571,42.44229384414345,left,56.08559771844571,0.3465028749778867,0.6983292499789968
10,Learning Part 1,37,images/tibetian/a1_N.png,images/tibetian/b_N.png,50.6643822766075,62.40599254387121,left,50.6643822766075,0.36628595896763727,1.0466961670317687
10,Learning Part 1,38,images/tibetian/a1_N.png,images/tibetian/b_N.png,59.92388685540447,29.85866604532432,left,59.92388685540447,0.5581499169929884,0.9750009999843314
10,Learning Part 1,39,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.17840950399176,34.85612922264087,left,71.17840950399176,0.6362884580157697,0.6054018330178224
10,Learning Part 1,40,images/tibetian/a1_N.png,images/tibetian/b_N.png,61.641667425695616,67.89660620492678,left,61.641667425695616,0.36080654099350795,2.938596625055652
10,Learning Part 1,41,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.64071269574971,52.35913286122702,left,48.64071269574971,0.4275574169587344,0.5966188330203295
10,Learning Part 1,42,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.53703416262756,61.640718884493126,left,72.53703416262756,0.4638561250176281,0.7716074580093846
10,Learning Part 1,43,images/tibetian/a1_N.png,images/tibetian/b_N.png,58.98093267421163,62.8063827956492,left,58.98093267421163,0.328267999982927,1.4489978749770671
10,Learning Part 1,44,images/tibetian/a1_N.png,images/tibetian/b_N.png,63.25946072700356,63.60741713199522,right,63.60741713199522,0.5006103750201873,0.8549714580294676
10,Learning Part 1,45,images/tibetian/a1_N.png,images/tibetian/b_N.png,46.594751265063174,55.32018473403155,left,46.594751265063174,0.3579478749888949,0.9076022919616662
10,Learning Part 1,46,images/tibetian/a2_N.png,images/tibetian/c_N.png,56.641484179517576,57.44340549340484,left,56.641484179517576,0.5338787500513718,1.0602987500024028
10,Learning Part 1,47,images/tibetian/a2_N.png,images/tibetian/c_N.png,60.78057148255253,39.118420507399215,left,60.78057148255253,0.319258917006664,4.511333625006955
10,Learning Part 1,48,images/tibetian/a1_N.png,images/tibetian/b_N.png,65.24905993437069,45.771927795775625,left,65.24905993437069,0.4060350420186296,0.5632821249892004
10,Learning Part 1,49,images/tibetian/a2_N.png,images/tibetian/c_N.png,75.06590148372122,31.225470395364134,left,75.06590148372122,0.2893381249741651,0.6844902499578893
10,Learning Part 1,50,images/tibetian/a1_N.png,images/tibetian/b_N.png,57.34478416107729,65.0278968928033,left,57.34478416107729,0.4029988340334967,1.0838012080057524
10,Learning Part 1,51,images/tibetian/a2_N.png,images/tibetian/c_N.png,75.96673239823745,59.35312747746822,left,75.96673239823745,0.3834892910090275,0.7954152500024065
10,Learning Part 1,52,images/tibetian/a2_N.png,images/tibetian/c_N.png,85.48166787251968,53.123032761663296,left,85.48166787251968,0.2649610000080429,0.6783184160012752
10,Learning Part 1,53,images/tibetian/a1_N.png,images/tibetian/b_N.png,62.39881393132288,51.48708386645352,left,62.39881393132288,0.2199409170425497,0.7029595000203699
10,Learning Part 1,54,images/tibetian/a2_N.png,images/tibetian/c_N.png,92.38753823700512,25.50895431305929,left,92.38753823700512,0.1960979579598643,0.9444087090087123
10,Learning Part 1,55,images/tibetian/a2_N.png,images/tibetian/c_N.png,57.33004386813496,48.30978384919836,left,57.33004386813496,0.16806016699410975,0.8211706249858253
10,Learning Part 1,56,images/tibetian/a2_N.png,images/tibetian/c_N.png,91.63966605075458,30.544769768895463,left,91.63966605075458,0.1677674590027891,0.7913209580001421
10,Learning Part 1,57,images/tibetian/a2_N.png,images/tibetian/c_N.png,49.827945580635905,47.37378074079003,left,49.827945580635905,0.1853355829953216,0.8696492089657113
10,Learning Part 1,58,images/tibetian/a2_N.png,images/tibetian/c_N.png,95.07741222090698,20.594842783986152,left,95.07741222090698,0.1721089169732295,0.7682537499931641
10,Learning Part 1,59,images/tibetian/a1_N.png,images/tibetian/b_N.png,69.60416496680361,50.5735488999398,left,69.60416496680361,0.16212504100985825,0.7470929999835789
10,Learning Part 1,60,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.19683352672578,41.344399060280026,left,66.19683352672578,0.1756314589874819,0.7824542500311509
10,Learning Part 1,61,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.40173949461511,67.84280015514872,left,66.40173949461511,0.18799499998567626,0.7131195419933647
10,Learning Part 1,62,images/tibetian/a2_N.png,images/tibetian/c_N.png,32.11660282290224,71.97766799976286,left,32.11660282290224,0.1765984170488082,2.3771802079863846
10,Learning Part 1,63,images/tibetian/a2_N.png,images/tibetian/c_N.png,67.41085949035688,41.358393688632354,left,67.41085949035688,0.17824758304050192,1.0173362079658546
10,Learning Part 1,64,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.46520669178685,51.655748228496535,left,48.46520669178685,0.2070893329801038,2.010690999974031
10,Learning Part 1,65,images/tibetian/a1_N.png,images/tibetian/b_N.png,76.09557894737897,45.360985917817125,left,76.09557894737897,0.27371308399597183,0.6939932499662973
10,Learning Part 1,66,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.30901258586852,51.988738432728574,left,66.30901258586852,0.19782025000313297,1.9270205830107443
10,Learning Part 1,67,images/tibetian/a1_N.png,images/tibetian/b_N.png,45.56808728437697,55.42689031915476,left,45.56808728437697,0.18049866700312123,0.8151717080036178
10,Learning Part 1,68,images/tibetian/a2_N.png,images/tibetian/c_N.png,81.67077123272202,36.233738212956524,left,81.67077123272202,0.18846491596195847,0.7288603750057518
10,Learning Part 1,69,images/tibetian/a1_N.png,images/tibetian/b_N.png,30.438966248739412,59.91882517947642,left,30.438966248739412,0.20927979197585955,1.3513834999757819
10,Learning Part 1,70,images/tibetian/a1_N.png,images/tibetian/b_N.png,42.809020056410915,63.78505425922572,left,42.809020056410915,0.18765575002180412,0.7614248750032857
10,Learning Part 2,1,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,51.93986254546495,51.908376536366895,right,51.908376536366895,2.8836006250348873,1.589398124953732
