Participant_number,Phase,Trial,Image Left,Image Right,Value Left,Value Right,Choice,Gained Value,Decision Time,Feedback Time
5,Training,1,images/c_trial.png,images/a1_trial.png,20.0,65.0,left,20.0,10.083642000041436,6.387859917012975
5,Training,2,images/c_trial.png,images/b_trial.png,50.0,39.0,left,50.0,5.113351917010732,2.0625794579973444
5,Training,3,images/a1_trial.png,images/b_trial.png,25.0,86.0,right,86.0,1.6981604160391726,1.6204752500052564
5,Training,4,images/a1_trial.png,images/b_trial.png,16.0,95.0,right,95.0,2.829739457985852,0.9004140830365941
5,Training,5,images/a1_trial.png,images/b_trial.png,10.0,75.0,right,75.0,0.7024776670150459,0.9489881250192411
5,Learning Part 1,1,images/tibetian/a2_N.png,images/tibetian/c_N.png,69.53130945015337,37.961353629290535,right,37.961353629290535,6.635096207959577,1.7351017919718288
5,Learning Part 1,2,images/tibetian/a2_N.png,images/tibetian/c_N.png,75.24592411050286,47.79007027166307,left,75.24592411050286,1.3534838749910705,2.844580875011161
5,Learning Part 1,3,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.50628481583204,62.21138824117286,left,48.50628481583204,0.8173127910122275,2.310026958992239
5,Learning Part 1,4,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.45900015982733,51.55208535942152,left,66.45900015982733,1.915422749996651,1.7928982499870472
5,Learning Part 1,5,images/tibetian/a1_N.png,images/tibetian/b_N.png,50.728901861330556,50.14517209862008,left,50.728901861330556,1.2107222079648636,1.291394791973289
5,Learning Part 1,6,images/tibetian/a2_N.png,images/tibetian/c_N.png,69.36975434553337,46.88905568646183,left,69.36975434553337,2.6473601660109125,1.068075833027251
5,Learning Part 1,7,images/tibetian/a2_N.png,images/tibetian/c_N.png,88.1013217164528,57.95953749246507,left,88.1013217164528,0.7424606659915298,0.9491104999906383
5,Learning Part 1,8,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.81730833091162,36.578359625093796,left,79.81730833091162,0.807535707950592,1.0025819159927778
5,Learning Part 1,9,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.95102348569085,44.33801202892727,left,80.95102348569085,1.6146977909957059,1.019632083014585
5,Learning Part 1,10,images/tibetian/a2_N.png,images/tibetian/c_N.png,55.933501956342816,52.08111479436835,left,55.933501956342816,2.253539625031408,0.774543417035602
5,Learning Part 1,11,images/tibetian/a2_N.png,images/tibetian/c_N.png,72.11275919822997,36.071364229672774,left,72.11275919822997,0.7001669169985689,0.6380880830110982
5,Learning Part 1,12,images/tibetian/a1_N.png,images/tibetian/b_N.png,55.64419511610996,65.40813433093396,left,55.64419511610996,1.074389457993675,0.6401854580035433
5,Learning Part 1,13,images/tibetian/a1_N.png,images/tibetian/b_N.png,45.66780090102985,60.22724304752908,left,45.66780090102985,2.93478887504898,1.1865789580042474
5,Learning Part 1,14,images/tibetian/a2_N.png,images/tibetian/c_N.png,78.59609551247378,34.300580574168926,left,78.59609551247378,2.333934666996356,0.9014249170431867
5,Learning Part 1,15,images/tibetian/a2_N.png,images/tibetian/c_N.png,79.06848678064725,23.740275557807635,left,79.06848678064725,0.662544583028648,0.6215543749858625
5,Learning Part 1,16,images/tibetian/a1_N.png,images/tibetian/b_N.png,64.26117358244475,78.52848306622997,left,64.26117358244475,1.7456158340210095,1.4404542499687523
5,Learning Part 1,17,images/tibetian/a1_N.png,images/tibetian/b_N.png,56.60654766163303,69.75441105766353,right,69.75441105766353,0.799793541955296,1.0524466669885442
5,Learning Part 1,18,images/tibetian/a2_N.png,images/tibetian/c_N.png,76.64343237176944,46.45960496610719,left,76.64343237176944,1.3138107919949107,0.9650447919848375
5,Learning Part 1,19,images/tibetian/a1_N.png,images/tibetian/b_N.png,83.99808560023078,31.998840346406055,right,31.998840346406055,0.9656345840194263,1.528737332962919
5,Learning Part 1,20,images/tibetian/a2_N.png,images/tibetian/c_N.png,72.20725697480479,38.056972509270665,left,72.20725697480479,1.3559850830351934,1.1780414170352742
5,Learning Part 1,21,images/tibetian/a1_N.png,images/tibetian/b_N.png,63.93237673866417,33.69381778435873,right,33.69381778435873,2.230676917009987,0.9790042500244454
5,Learning Part 1,22,images/tibetian/a1_N.png,images/tibetian/b_N.png,64.1000757460691,51.52895037176394,left,64.1000757460691,2.5103877499932423,0.9122153329662979
5,Learning Part 1,23,images/tibetian/a2_N.png,images/tibetian/c_N.png,57.689113297958585,44.30480195668141,left,57.689113297958585,1.847835083026439,1.0203202500124462
5,Learning Part 1,24,images/tibetian/a2_N.png,images/tibetian/c_N.png,58.48066947036074,52.17374589945199,left,58.48066947036074,0.8319748340290971,0.739833917003125
5,Learning Part 1,25,images/tibetian/a1_N.png,images/tibetian/b_N.png,73.13426617543108,23.946916955515462,left,73.13426617543108,2.888523291971069,0.7773839160217904
5,Learning Part 1,26,images/tibetian/a1_N.png,images/tibetian/b_N.png,67.54575997732192,45.85813698148326,left,67.54575997732192,2.2774069579900242,0.6983790840022266
5,Learning Part 1,27,images/tibetian/a2_N.png,images/tibetian/c_N.png,74.18918133908915,36.03207080951333,left,74.18918133908915,1.0680139170144685,0.6201607499970123
5,Learning Part 1,28,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.10090692478045,21.511094945141288,left,80.10090692478045,2.384663208038546,0.818465041986201
5,Learning Part 1,29,images/tibetian/a2_N.png,images/tibetian/c_N.png,76.53757124861569,29.68553979950284,left,76.53757124861569,1.2325311250169761,0.9655155420186929
5,Learning Part 1,30,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.11245572832436,21.974814816815048,left,80.11245572832436,0.8404352500219829,0.7516135000041686
5,Learning Part 1,31,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.6255397857366,40.41739098583338,left,70.6255397857366,1.1213266249978915,0.6621530419797637
5,Learning Part 1,32,images/tibetian/a2_N.png,images/tibetian/c_N.png,44.12527410954374,79.63871913783231,left,44.12527410954374,0.6864642499713227,0.5542017499683425
5,Learning Part 1,33,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.5911053841635,40.68959057120823,left,70.5911053841635,1.263265749963466,0.7415062919608317
5,Learning Part 1,34,images/tibetian/a1_N.png,images/tibetian/b_N.png,52.40280081172885,54.40500432035465,left,52.40280081172885,2.7288886250462383,0.8156338330009021
5,Learning Part 1,35,images/tibetian/a1_N.png,images/tibetian/b_N.png,45.39193013083583,63.735427790996965,right,63.735427790996965,1.3760747920023277,0.751719249994494
5,Learning Part 1,36,images/tibetian/a2_N.png,images/tibetian/c_N.png,43.04188052079033,62.669914783688995,left,43.04188052079033,0.8508286660071462,2.3930610000388697
5,Learning Part 1,37,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.53550007965548,39.86554401990817,right,39.86554401990817,1.3642036669771187,1.1826881249435246
5,Learning Part 1,38,images/tibetian/a2_N.png,images/tibetian/c_N.png,80.40760056973232,33.01890414446111,right,33.01890414446111,1.1631705830222927,1.04094645899022
5,Learning Part 1,39,images/tibetian/a2_N.png,images/tibetian/c_N.png,49.299629719029596,51.11770851375704,left,49.299629719029596,0.6963357499917038,0.9530479170498438
5,Learning Part 1,40,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.0293640659663,36.24034906077696,left,48.0293640659663,1.1981689999811351,1.0042360830120742
5,Learning Part 1,41,images/tibetian/a1_N.png,images/tibetian/b_N.png,47.77194604950432,63.78641708200319,left,47.77194604950432,1.5283434590091929,0.9255739169893786
5,Learning Part 1,42,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.60514849187525,45.05698009991712,right,45.05698009991712,0.7363187919836491,0.9412740839761682
5,Learning Part 1,43,images/tibetian/a2_N.png,images/tibetian/c_N.png,56.44787209720806,55.35370061485686,left,56.44787209720806,1.4754519169800915,1.2213538750074804
5,Learning Part 1,44,images/tibetian/a2_N.png,images/tibetian/c_N.png,65.63926493122864,52.78327306748584,left,65.63926493122864,0.6705405000247993,0.641566000005696
5,Learning Part 1,45,images/tibetian/a2_N.png,images/tibetian/c_N.png,59.01289041965959,63.046502319093776,left,59.01289041965959,0.6173414170043543,0.7113583330065012
5,Learning Part 1,46,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.07037421478678,62.24308897136797,left,72.07037421478678,1.48460291599622,0.9554193749791011
5,Learning Part 1,47,images/tibetian/a1_N.png,images/tibetian/b_N.png,56.37436906485642,55.022207936585815,left,56.37436906485642,0.6864050420117564,0.7769341670209542
5,Learning Part 1,48,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.70135023585863,47.42041287118339,left,71.70135023585863,0.7244893329916522,0.7164724160102196
5,Learning Part 1,49,images/tibetian/a2_N.png,images/tibetian/c_N.png,67.85094982319345,37.906038089489726,right,37.906038089489726,1.265014875039924,0.8973222080385312
5,Learning Part 1,50,images/tibetian/a1_N.png,images/tibetian/b_N.png,67.48769953290787,51.47055602455087,left,67.48769953290787,1.4510067090159282,1.1427783339750022
5,Learning Part 1,51,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.43753417233178,44.6977442479663,left,48.43753417233178,0.8128311250475235,1.1101440000347793
5,Learning Part 1,52,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.36729767688438,55.4126859703399,left,72.36729767688438,0.7097803329816088,0.9428203749703243
5,Learning Part 1,53,images/tibetian/a1_N.png,images/tibetian/b_N.png,47.509188017416434,42.601114105509424,left,47.509188017416434,1.8894356249948032,1.3017291250289418
5,Learning Part 1,54,images/tibetian/a1_N.png,images/tibetian/b_N.png,40.14281572225602,46.39454834174731,left,40.14281572225602,1.3890311249997467,1.4069252909976058
5,Learning Part 1,55,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.69684471890977,48.79878107905815,right,48.79878107905815,2.0864123750361614,0.9973524999804795
5,Learning Part 1,56,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.97173253517319,42.24891106160324,left,70.97173253517319,1.2040675830212422,0.8044257499859668
5,Learning Part 1,57,images/tibetian/a1_N.png,images/tibetian/b_N.png,52.95464334703513,51.979935936908035,left,52.95464334703513,0.9002409999957308,0.8867690410115756
5,Learning Part 1,58,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.59217276499159,53.33975791406157,left,71.59217276499159,0.6727684590150602,0.9123793750186451
5,Learning Part 1,59,images/tibetian/a2_N.png,images/tibetian/c_N.png,53.36662210019622,48.584907730120186,left,53.36662210019622,0.8025770829990506,0.8017300000065006
5,Learning Part 1,60,images/tibetian/a1_N.png,images/tibetian/b_N.png,67.06150423838085,33.81216992419129,left,67.06150423838085,1.2047566670225933,0.7791202499647625
5,Learning Part 1,61,images/tibetian/a1_N.png,images/tibetian/b_N.png,77.18628978956876,65.48819930894709,left,77.18628978956876,0.7301927079679444,0.7373352919821627
5,Learning Part 1,62,images/tibetian/a1_N.png,images/tibetian/b_N.png,57.32659528335713,57.32948433843691,left,57.32659528335713,0.6724387079593726,1.0130067080026492
5,Learning Part 1,63,images/tibetian/a2_N.png,images/tibetian/c_N.png,51.564249773367116,62.24724303288277,left,51.564249773367116,0.7436490000109188,1.0220791249885224
5,Learning Part 1,64,images/tibetian/a1_N.png,images/tibetian/b_N.png,52.25669464474483,63.914572852280855,right,63.914572852280855,0.7232481249957345,0.9463265420054086
5,Learning Part 1,65,images/tibetian/a2_N.png,images/tibetian/c_N.png,89.255323248011,39.74727210370184,left,89.255323248011,1.0777600829605944,1.0132972919964232
5,Learning Part 1,66,images/tibetian/a1_N.png,images/tibetian/b_N.png,56.921797906595245,38.14534013566662,left,56.921797906595245,0.6464372500195168,0.8292798330076039
5,Learning Part 1,67,images/tibetian/a2_N.png,images/tibetian/c_N.png,53.27080174268808,46.25419605259654,left,53.27080174268808,0.737283332971856,0.7737365420325659
5,Learning Part 1,68,images/tibetian/a1_N.png,images/tibetian/b_N.png,62.92120114805607,75.5657650596811,right,75.5657650596811,0.7614865840296261,0.8301055000047199
5,Learning Part 1,69,images/tibetian/a1_N.png,images/tibetian/b_N.png,45.2073734278365,57.8937574862366,right,57.8937574862366,0.9238219170365483,0.8181115000043064
5,Learning Part 1,70,images/tibetian/a2_N.png,images/tibetian/c_N.png,52.505681922328556,36.737864847455235,left,52.505681922328556,0.6684708329848945,1.2141813339549117
5,Learning Part 2,1,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,70.99561180353798,18.499094754418664,left,70.99561180353798,4.98453704098938,0.9302237090305425
5,Learning Part 2,2,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,40.989287899097555,36.69816100548796,left,40.989287899097555,0.4769949580077082,0.748559125000611
5,Learning Part 2,3,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,42.5129182197413,31.992267001713515,left,42.5129182197413,0.3640692500048317,0.6855935829808004
5,Learning Part 2,4,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,71.04947447510118,65.85250231695026,left,71.04947447510118,0.3874028339632787,0.5324853750062175
5,Learning Part 2,5,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,73.59817555684846,60.766491296146825,right,60.766491296146825,1.4918663749704137,1.1552717500017025
5,Learning Part 2,6,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,66.01254390313322,32.07589792483347,left,66.01254390313322,0.6878533330163918,1.1890750830061734
5,Learning Part 2,7,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,66.58504449545681,39.4453124165525,left,66.58504449545681,0.8607578340452164,0.8133744589868002
5,Learning Part 2,8,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,77.06014647503508,19.396107982065864,left,77.06014647503508,0.5618352079764009,0.5350957920309156
5,Learning Part 2,9,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,48.303270672775426,60.750967076791575,right,60.750967076791575,2.000998792005703,0.7563681249739602
5,Learning Part 2,10,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,79.6215359320792,59.09778060529436,right,59.09778060529436,0.4908310000319034,1.7663301670108922
5,Learning Part 2,11,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,79.30819734644038,19.366339560488097,right,19.366339560488097,1.3143459999701008,0.9498966250102967
5,Learning Part 2,12,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,57.71716653962014,28.225142872831313,left,57.71716653962014,0.3966107500018552,0.8715602079755627
5,Learning Part 2,13,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,44.36663674437448,64.59624548663014,left,44.36663674437448,1.2718419999582693,0.8476686659851111
5,Learning Part 2,14,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,53.14693430807988,76.64385609123957,right,76.64385609123957,0.4599878750159405,0.8175062909722328
5,Learning Part 2,15,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,60.85214431235915,21.094107732280317,left,60.85214431235915,0.8869877909892239,0.7426721669617109
5,Learning Part 2,16,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,61.72617055514535,52.17282503741052,left,61.72617055514535,0.6146697920048609,0.9582175410469063
5,Learning Part 2,17,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,66.80601963394787,55.540102864556864,right,55.540102864556864,0.6542692919611,1.6495026670163497
5,Learning Part 2,18,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,25.341168924604304,39.00513162114214,left,25.341168924604304,0.7986046249861829,0.9997895419946872
5,Learning Part 2,19,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,59.08609137157964,59.53851227623268,left,59.08609137157964,1.077824917039834,1.7296554170316085
5,Learning Part 2,20,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,79.42102000453056,58.0892550544977,right,58.0892550544977,0.7745625000097789,0.9532730840146542
5,Learning Part 2,21,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,68.85439677409214,39.63653402207081,right,39.63653402207081,0.4786586670088582,0.7990351659827866
5,Learning Part 2,22,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,65.8666574697537,63.37805242909286,right,63.37805242909286,0.7188345000031404,1.1432872499572113
5,Learning Part 2,23,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,70.5199240847537,55.67579107534602,left,70.5199240847537,0.9772448330186307,0.9097724999883212
5,Learning Part 2,24,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,58.413971983616136,27.55570324547818,left,58.413971983616136,0.6392792499973439,0.945783292001579
5,Learning Part 2,25,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,77.49020078866963,51.16815364864056,left,77.49020078866963,0.5197040410130285,0.8251404159818776
5,Learning Part 2,26,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,59.47261867736056,47.695731712689366,left,59.47261867736056,0.5150010839570314,0.6701224999851547
5,Learning Part 2,27,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,51.50187515144068,25.606258553193292,left,51.50187515144068,0.424253957986366,0.778495708014816
5,Learning Part 2,28,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,37.57396213697419,42.88106658704116,right,42.88106658704116,1.0215574579779059,0.8865872080205008
5,Learning Part 2,29,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,62.56238075040184,54.60756037376461,right,54.60756037376461,0.35567854199325666,1.583457249973435
5,Learning Part 2,30,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,60.2453717907346,21.684756101403803,left,60.2453717907346,0.8891138330218382,0.8933945000171661
5,Learning Part 2,31,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,39.27463662230617,45.09547881968849,left,39.27463662230617,0.6643476249882951,0.9077183330082335
5,Learning Part 2,32,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,78.63345332857611,51.38512405978418,left,78.63345332857611,1.2393111669807695,1.473188708012458
5,Learning Part 2,33,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,83.32301866323166,46.50185354943576,left,83.32301866323166,0.46921654196921736,0.8736192499636672
5,Learning Part 2,34,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,85.33523408673402,52.78873854781935,left,85.33523408673402,0.4879578750114888,0.8355853339890018
5,Learning Part 2,35,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,70.04420235052056,40.85779574699325,left,70.04420235052056,0.9882922090473585,0.8122909590019844
5,Learning Part 2,36,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,70.3496269372127,52.40037402089322,right,52.40037402089322,0.7769877089885995,0.8118025420117192
5,Learning Part 2,37,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,62.90046841854192,38.1868937975381,left,62.90046841854192,0.8586089169839397,0.7916445839800872
5,Learning Part 2,38,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,46.10672336689979,59.18607473834142,right,59.18607473834142,0.6301244579954073,0.7967620419804007
5,Learning Part 2,39,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,68.89057442223321,36.53078743667906,left,68.89057442223321,0.5538845830014907,0.8764123330474831
5,Learning Part 2,40,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,80.71762273941661,37.51879281694147,left,80.71762273941661,0.6213645830284804,0.8340712919598445
5,Learning Part 2,41,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,60.673628294826855,62.108362745058265,right,62.108362745058265,0.43521079199854285,0.7339588329778053
5,Learning Part 2,42,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,68.35259217462837,29.418887485255468,right,29.418887485255468,0.44799908297136426,0.7538257919950411
5,Learning Part 2,43,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,63.28163056374596,50.24884641552017,right,50.24884641552017,0.7161605840083212,1.0705302499700338
5,Learning Part 2,44,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,69.68552253611414,42.65068782171943,left,69.68552253611414,0.8631379170110449,0.8550627090153284
5,Learning Part 2,45,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,73.03675797282928,55.53701952297214,right,55.53701952297214,1.2577760000131093,0.8677127080154605
5,Learning Part 2,46,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,50.55289117915091,23.880956292254957,left,50.55289117915091,0.6990605829632841,0.9603310829843394
5,Learning Part 2,47,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,94.72047423998136,44.57737262140189,right,44.57737262140189,0.6850750420126133,0.9097393749980256
5,Learning Part 2,48,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,60.443904651026536,39.71265428676619,left,60.443904651026536,0.7556867920211516,0.8631671250332147
5,Learning Part 2,49,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,80.09342485043251,52.680718645729755,left,80.09342485043251,0.6783402499859221,0.8814459579880349
