Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
6,images/tibetian/a1_N.png,images/tibetian/a2_N.png,62.6,41.29382014274597
6,images/tibetian/a1_N.png,images/tibetian/b_N.png,59.6,30.373392820358276
6,images/tibetian/a1_N.png,images/tibetian/c_N.png,21.4,31.0632266998291
6,images/tibetian/a2_N.png,images/tibetian/b_N.png,19.6,4.078687906265259
6,images/tibetian/a2_N.png,images/tibetian/c_N.png,19.6,1.8157758712768555
6,images/tibetian/b_N.png,images/tibetian/c_N.png,73.2,4.149138927459717
6,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,34.8,19.429958820343018
6,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,34.8,3.5824179649353027
6,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,41.6,5.276955842971802
6,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,25.2,5.326111078262329
6,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,44.0,8.31537413597107
6,images/tibetian/b_Z.png,images/tibetian/c_Z.png,65.8,3.1950249671936035
6,images/tibetian/a1_P.png,images/tibetian/a2_P.png,66.4,10.967190027236938
6,images/tibetian/a1_P.png,images/tibetian/b_P.png,25.4,3.6342756748199463
6,images/tibetian/a1_P.png,images/tibetian/c_P.png,25.4,2.9815211296081543
6,images/tibetian/a2_P.png,images/tibetian/b_P.png,25.4,3.4736082553863525
6,images/tibetian/a2_P.png,images/tibetian/c_P.png,25.4,4.986343145370483
6,images/tibetian/b_P.png,images/tibetian/c_P.png,64.6,5.855996131896973
6,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,28.6,9.077446937561035
6,images/tibetian/a1_N.png,images/tibetian/a2_P.png,71.8,3.406730890274048
6,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,26.0,2.9214789867401123
6,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,63.0,2.6191768646240234
6,images/tibetian/a1_P.png,images/tibetian/a2_N.png,20.2,2.7435100078582764
6,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,20.2,2.458671808242798
6,images/tibetian/b_N.png,images/tibetian/c_Z.png,20.2,3.505159854888916
6,images/tibetian/b_N.png,images/tibetian/c_P.png,39.4,2.980942726135254
6,images/tibetian/b_Z.png,images/tibetian/c_N.png,59.4,3.234341859817505
6,images/tibetian/b_Z.png,images/tibetian/c_P.png,40.2,4.691132068634033
6,images/tibetian/b_P.png,images/tibetian/c_N.png,57.0,7.854756116867065
6,images/tibetian/b_P.png,images/tibetian/c_Z.png,56.8,2.7023203372955322
