Participant_number,Phase,Trial,Image Left,Image Right,Value Left,Value Right,Choice,Gained Value,Decision Time,Feedback Time
3,Training,1,images/a2_trial.png,images/b_trial.png,95.0,18.0,right,18.0,20.596325333986897,7.90121033298783
3,Training,2,images/a2_trial.png,images/b_trial.png,98.0,28.0,right,28.0,2.818548417009879,16.483103792008478
3,Training,3,images/c_trial.png,images/a1_trial.png,98.0,89.0,left,98.0,2.6397573750000447,8.57586949999677
3,Training,4,images/a2_trial.png,images/a1_trial.png,71.0,39.0,left,71.0,3.370772666996345,2.6577890829648823
3,Training,5,images/c_trial.png,images/b_trial.png,29.0,84.0,left,29.0,2.2821171670220792,5.882448500022292
3,Learning Part 1,1,images/tibetian/a1_N.png,images/tibetian/b_N.png,77.62701631715538,48.81734457489927,right,48.81734457489927,12.872924958006479,3.1004141249577515
3,Learning Part 1,2,images/tibetian/a2_N.png,images/tibetian/c_N.png,59.48419876350922,49.00059576277828,left,59.48419876350922,8.61738987499848,2.9449807499768212
3,Learning Part 1,3,images/tibetian/a1_N.png,images/tibetian/b_N.png,61.31075711842202,52.44952515352393,right,52.44952515352393,6.44735725002829,3.624918957997579
3,Learning Part 1,4,images/tibetian/a1_N.png,images/tibetian/b_N.png,65.78868999747561,51.81401402050376,left,65.78868999747561,3.3317539999843575,1.9400564579991624
3,Learning Part 1,5,images/tibetian/a2_N.png,images/tibetian/c_N.png,48.96433856294118,55.45111818365946,left,48.96433856294118,2.1249602080206387,1.8033059160225093
3,Learning Part 1,6,images/tibetian/a1_N.png,images/tibetian/b_N.png,61.69156565344274,54.38347491988787,left,61.69156565344274,4.573338582995348,1.5197121250093915
3,Learning Part 1,7,images/tibetian/a2_N.png,images/tibetian/c_N.png,71.35022336858597,36.19421079847234,right,36.19421079847234,7.834997958038002,2.7177484579733573
3,Learning Part 1,8,images/tibetian/a1_N.png,images/tibetian/b_N.png,75.29589307778289,61.64833239091607,right,61.64833239091607,10.06751395802712,2.711512167006731
3,Learning Part 1,9,images/tibetian/a2_N.png,images/tibetian/c_N.png,76.15523349903849,29.902314413746574,left,76.15523349903849,24.666273334005382,1.312570209032856
3,Learning Part 1,10,images/tibetian/a1_N.png,images/tibetian/b_N.png,77.94659825576959,70.6459744287266,left,77.94659825576959,4.831429708050564,1.1832060419837944
3,Learning Part 1,11,images/tibetian/a2_N.png,images/tibetian/c_N.png,53.61528403884046,45.37716375713976,right,45.37716375713976,6.092782249965239,2.7062467499636114
3,Learning Part 1,12,images/tibetian/a2_N.png,images/tibetian/c_N.png,85.72685717309975,38.423380045764645,left,85.72685717309975,2.626618125010282,0.8400256659951992
3,Learning Part 1,13,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.02861110965398,48.56374228938175,left,71.02861110965398,14.059585332986899,1.0629757500137202
3,Learning Part 1,14,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.56456051064818,64.0563389993344,left,66.56456051064818,1.8011260000057518,3.771386166976299
3,Learning Part 1,15,images/tibetian/a1_N.png,images/tibetian/b_N.png,66.5914170504634,45.14700241106822,left,66.5914170504634,1.845183375000488,2.9702270419802517
3,Learning Part 1,16,images/tibetian/a1_N.png,images/tibetian/b_N.png,80.36298745288164,57.60313715666428,left,80.36298745288164,1.396558583015576,2.0624858340015635
3,Learning Part 1,17,images/tibetian/a1_N.png,images/tibetian/b_N.png,65.44223124436687,48.69191143003752,left,65.44223124436687,1.4985047079971991,1.3295609580236487
3,Learning Part 1,18,images/tibetian/a2_N.png,images/tibetian/c_N.png,62.747422135762655,37.910441139626215,left,62.747422135762655,5.057941666978877,0.8832872500061058
3,Learning Part 1,19,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.71867428792496,48.07798098724813,left,66.71867428792496,1.1108041249681264,0.8936406249995343
3,Learning Part 1,20,images/tibetian/a2_N.png,images/tibetian/c_N.png,70.8914282154681,46.065461414608976,left,70.8914282154681,1.083341833029408,1.352167750010267
3,Learning Part 1,21,images/tibetian/a2_N.png,images/tibetian/c_N.png,87.93749611650377,42.87952805837274,left,87.93749611650377,1.3483502919552848,1.047876083990559
3,Learning Part 1,22,images/tibetian/a1_N.png,images/tibetian/b_N.png,58.96324098588028,67.11939178154827,right,67.11939178154827,9.323322082986124,1.6172229580115527
3,Learning Part 1,23,images/tibetian/a1_N.png,images/tibetian/b_N.png,60.47015872139021,36.866954543764045,right,36.866954543764045,0.652783083030954,5.52402000001166
3,Learning Part 1,24,images/tibetian/a1_N.png,images/tibetian/b_N.png,74.60895718568926,65.20447607507498,left,74.60895718568926,1.0972458340111189,0.8777012499631383
3,Learning Part 1,25,images/tibetian/a2_N.png,images/tibetian/c_N.png,60.93498217693983,49.01070866446137,right,49.01070866446137,3.6003852920257486,2.4630607499857433
3,Learning Part 1,26,images/tibetian/a1_N.png,images/tibetian/b_N.png,72.74617882625625,43.39414258814176,left,72.74617882625625,10.295226042042486,0.8193171669845469
3,Learning Part 1,27,images/tibetian/a1_N.png,images/tibetian/b_N.png,81.74649573281454,55.10978052786668,left,81.74649573281454,0.9141085420269519,0.9013511250377633
3,Learning Part 1,28,images/tibetian/a1_N.png,images/tibetian/b_N.png,71.60404424380434,26.594793201104782,left,71.60404424380434,1.5314139160327613,1.8551448329817504
3,Learning Part 1,29,images/tibetian/a2_N.png,images/tibetian/c_N.png,37.51838984865492,51.50699616575626,left,37.51838984865492,4.586324333038647,1.7183124169823714
3,Learning Part 1,30,images/tibetian/a2_N.png,images/tibetian/c_N.png,65.76348809056127,36.89606060878876,right,36.89606060878876,0.7542961669969372,3.2556354580447078
3,Learning Part 1,31,images/tibetian/a2_N.png,images/tibetian/c_N.png,52.72993189487491,56.01596188073278,left,52.72993189487491,1.663901416992303,3.9003724589711055
3,Learning Part 1,32,images/tibetian/a1_N.png,images/tibetian/b_N.png,58.31868321823402,55.85495583239036,left,58.31868321823402,5.663592500030063,1.272098375018686
3,Learning Part 1,33,images/tibetian/a2_N.png,images/tibetian/c_N.png,63.714049431956624,49.42406824817982,left,63.714049431956624,2.0781885830219835,0.8393914590124041
3,Learning Part 1,34,images/tibetian/a2_N.png,images/tibetian/c_N.png,66.67688905089454,48.55594477558293,left,66.67688905089454,1.0131977919954807,1.168456708022859
3,Learning Part 1,35,images/tibetian/a1_N.png,images/tibetian/b_N.png,74.50845651691904,42.06132489863394,left,74.50845651691904,9.46091704198625,0.7917547499528155
3,Learning Part 1,36,images/tibetian/a1_N.png,images/tibetian/b_N.png,57.24603517110054,53.263458327537094,left,57.24603517110054,0.8761981669813395,1.1512007919955067
3,Learning Part 1,37,images/tibetian/a1_N.png,images/tibetian/b_N.png,60.875545070814276,65.83426160383854,left,60.875545070814276,1.792677209014073,2.419130916998256
