Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
8,images/tibetian/a1_N.png,images/tibetian/a2_N.png,63.4,49.11577296257019
8,images/tibetian/a1_N.png,images/tibetian/b_N.png,41.8,25.578322887420654
8,images/tibetian/a1_N.png,images/tibetian/c_N.png,15.0,9.440968036651611
8,images/tibetian/a2_N.png,images/tibetian/b_N.png,28.0,6.4072630405426025
8,images/tibetian/a2_N.png,images/tibetian/c_N.png,7.2,5.429636001586914
8,images/tibetian/b_N.png,images/tibetian/c_N.png,33.2,6.243534803390503
8,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,49.8,7.790594100952148
8,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,2.0,6.558756113052368
8,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,14.8,5.494901180267334
8,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,49.6,12.620136976242065
8,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,40.6,8.824397087097168
8,images/tibetian/b_Z.png,images/tibetian/c_Z.png,52.8,6.72263240814209
8,images/tibetian/a1_P.png,images/tibetian/a2_P.png,79.6,12.49723196029663
8,images/tibetian/a1_P.png,images/tibetian/b_P.png,59.6,8.063216924667358
8,images/tibetian/a1_P.png,images/tibetian/c_P.png,47.8,16.138810873031616
8,images/tibetian/a2_P.png,images/tibetian/b_P.png,17.6,8.059395790100098
8,images/tibetian/a2_P.png,images/tibetian/c_P.png,10.4,2.601288080215454
8,images/tibetian/b_P.png,images/tibetian/c_P.png,44.8,12.546136856079102
8,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,40.6,22.2225501537323
8,images/tibetian/a1_N.png,images/tibetian/a2_P.png,94.2,5.497635126113892
8,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,91.6,4.185698986053467
8,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,94.0,2.509943962097168
8,images/tibetian/a1_P.png,images/tibetian/a2_N.png,49.8,15.49324083328247
8,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,62.6,5.270188808441162
8,images/tibetian/b_N.png,images/tibetian/c_Z.png,21.4,15.078342914581299
8,images/tibetian/b_N.png,images/tibetian/c_P.png,40.6,3.1427700519561768
8,images/tibetian/b_Z.png,images/tibetian/c_N.png,67.4,8.709669828414917
8,images/tibetian/b_Z.png,images/tibetian/c_P.png,35.6,3.0988259315490723
8,images/tibetian/b_P.png,images/tibetian/c_N.png,66.8,3.1572699546813965
8,images/tibetian/b_P.png,images/tibetian/c_Z.png,61.6,13.776289939880371
